ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
6709036e-5c16-4eb8-9002-157ab1e5f51f,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,5184713490,7443
475a90c9-be73-4dba-b816-cc868d139e5b,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,9143313131,5180
e9e1f9e9-196b-4cdf-bd05-0590cd0319aa,KALEIDA HEALTH,726 EXCHANGE STREET  SUITE 522,BUFFALO,NY,14210,7168598620,16473
d448f48b-0430-4561-8ba5-6ca1c9145eb5,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,9143787000,9836
772bfb10-4364-484d-b885-a2dea78c7ea4,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,5857862233,739
b2ec7823-a44f-4a7c-a3bc-c629c3847dc8,OUR LADY OF LOURDES MEMORIAL HOSPITAL  INC,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,6077985111,2044
0ecaf251-e3c8-48b5-afe0-665c3dc87631,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,7182626000,21257
ead3dbb5-a39b-4f00-a028-81756a990ac6,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,8454548500,5627
0544d5d3-5286-4e16-954e-bb0a7ec8bef7,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,5165720123,385
84d8bc45-6c2c-4ec3-b23d-f5cdbdfedc8e,NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,3153322022,1814
8bbd772d-20fd-4021-ab1f-bcd2ff1db510,CHENANGO MEMORIAL HOSPITAL  INC,179 NORTH BROAD STREET,NORWICH,NY,13815,6073354111,255
d45a48fd-ffcb-4ef1-a049-f89b20f4f716,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,3157986000,2515
d7a34995-cc87-423f-b2c5-4d8bbbc5230a,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,6313512000,586
263d940a-4ed8-4371-8a16-d98101d0ac92,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,5188417101,1284
5d6f2ba3-8838-46bd-88ef-4b2bbd0bde99,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,8458713391,652
63c9c7b7-b191-4d69-b0f9-a344f9858864,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,3157874175,141
978845c1-ae85-478e-a52f-8229c676cda4,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,7189204321,1419
4086a157-11e4-4d5e-b7a7-0da21aac9aac,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,7162784000,2239
6548e4ab-d2af-4948-8f4b-0f372a139b2d,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,5853436030,838
89cad572-81e2-4c02-b63c-c9dc3acf5f35,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,5853966000,1805
aa4a2e08-e2fb-4774-b17d-50e48e6da496,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,7168621000,942
02984981-3fd7-4804-a74e-a5c40efe0c28,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,5188914141,2045
d3430fe5-9bcb-47d3-a278-7bd50e8fcfea,ALICE HYDE MEDICAL CENTER,133 PARK STREET,MALONE,NY,12953,5184833000,494
6f2e11d2-06b0-45db-b093-f180402af1b8,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,6074322000,246
2a6a6d6d-4e51-4c3f-adde-e47657a1f4b9,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,9146648000,3118
ed3dc75e-a829-499b-8eef-061dc341ea2b,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,6314771000,2511
b12c4c09-8b23-4785-a489-8605cbefa14c,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,6077374100,4324
55387e9f-c168-4e77-9861-c27034ce3220,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,5188287601,450
c5850719-0fc6-4726-98f4-d53bb0ab2443,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,5855931100,662
cb5e7b74-759e-44dc-961d-dd6037f5847d,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,KENMORE,NY,14217,7164476100,2858
9fd65dd9-cceb-4cb8-ac09-cd4654123088,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,7163732600,615
4d8114cf-ffb5-49ff-a309-64bd8f212a75,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,8453482000,720
9fc77120-2670-4514-8c70-d887c21bba62,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,5165620100,3396
a38ce145-90c7-4df1-9a91-88394e15e27a,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,6315486000,3404
4f758e05-3e21-4730-87c4-fbe5513f0da7,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,SPRINGVILLE,NY,14141,7165922871,1979
1c612637-cd4c-48cf-b0a9-3cd7eb42815e,ONEIDA HEALTHCARE,321 GENESEE STREET,ONEIDA,NY,13421,3153636000,2197
89f65d61-7466-47ac-be5e-554bd82ff5e2,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,5859224000,16813
fd02e0dc-a921-4a98-beda-19a646fc3c4f,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,8453432424,512
df7dba32-34e1-4d07-a4ab-4d699fdb17a4,TLC HEALTH NETWORK,845 ROUTES 5 AND 20,IRVING,NY,14081,7165323377,2457
0a7e9e91-d69a-4695-bda7-6f68842d784f,BON SECOURS COMMUNITY HOSPITAL,160 EAST MAIN STREET,PORT JERVIS,NY,12771,8458565351,1226
776ad621-699e-45ef-920c-e89f742acc32,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,6075473456,666
844faa35-c227-4096-88f6-81e65b19758a,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,3154485111,15373
4a2430ae-48a2-4ba3-b963-1b7fe996deab,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,6316547100,769
d4bdcfe7-87ca-4796-b1ac-9696c944925d,IRA DAVENPORT MEMORIAL HOSPITAL  INC,7571 STATE ROUTE 54,BATH,NY,14810,6077768500,402
8d01df81-7c96-48a0-a601-415ce76493a5,ST JAMES MERCY HOSPITAL,411 CANISTEO STREET,HORNELL,NY,14843,6073248000,346
51747305-b858-4a42-bbb7-bf58f202606a,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,5182434000,5265
